Country,Year,Wind_Energy,Hydro_Energy,Solar_Energy,Other_Energy,Total_Energy,GDP_USD,GDP_per_capita_USD,
Afghanistan,2020,0,0.62,0.04,0,0.66,20116137326,516.7478708,
Albania,2020,0,5.28,0.03,0,5.31,15131866271,5332.160475,
Algeria,2020,0.01,0.09,0.68,0,0.78,1.45E+11,3306.858208,
American Samoa,2020,0,0,0,0,0,709000000,12844.90099,
Angola,2020,0,10.08,0.02,0.25,10.35,53619071176,1631.431691,
Antigua and Barbuda,2020,0,0,0.01,0,0.01,1370281481,13992.74448,
Argentina,2020,9.41,24.26,1.35,0.43,35.45,3.90E+11,8585.694742,
Armenia,2020,0,1.78,0.02,0,1.8,12641209802,4266.018074,
Aruba,2020,0.14,0,0.01,0,0.15,2496648045,23384.29879,
Australia,2020,20.4,15.15,21.03,3.12,59.7,1.33E+12,51680.31652,
Austria,2020,6.79,42,2.04,4.59,55.42,4.33E+11,48588.65938,
Azerbaijan,2020,0.1,1.07,0.05,0,1.22,42693000000,4229.910649,
Bahamas,2020,0,0,0,0,0,9699500000,24665.09683,
Bahrain,2020,0,0,0.01,0,0.01,34723357447,20406.50233,
Bangladesh,2020,0.01,0.61,0.42,0.03,1.07,3.74E+11,2270.347535,
Barbados,2020,0,0,0.04,0,0.04,4689534962,16318.74811,
Belarus,2020,0.19,0.39,0.17,0.51,1.26,61489588895,6555.426818,
Belgium,2020,12.76,0.27,5.11,5.27,23.41,5.22E+11,45189.3669,
Belize,2020,0,0.08,0,0.17,0.25,1585631670,3987.796596,
Benin,2020,0,0,0.01,0,0.01,15651545332,1291.040972,
Bhutan,2020,0,8.95,0,0,8.95,2315436303,3000.777986,
Bolivia,2020,0.06,2.94,0.25,0.51,3.76,36629843806,3137.989617,
Bosnia and Herzegovina,2020,0.26,6.1,0.05,0.02,6.43,19955120005,6082.36673,
Botswana,2020,0,0,0,0,0,14930072799,6348.832318,
Brazil,2020,57.05,409.5,10.75,50.92,528.22,1.45E+12,6814.875632,
Brunei,2020,0,0,0,0,0,12005825770,27442.95383,
Bulgaria,2020,1.48,2.82,1.48,1.7,7.48,69889347433,10079.20338,
Burkina Faso,2020,0,0.11,0.05,0,0.16,17933606353,857.9327297,
Burundi,2020,0,0.22,0.01,0.01,0.24,2780510625,233.8375103,
Cambodia,2020,0,3.49,0.09,0.34,3.92,25872798012,1547.511388,
Cameroon,2020,0,5.88,0.02,0,5.9,40804449726,1537.130218,
Canada,2020,36.1,383,4.28,10.25,433.63,1.65E+12,43258.26387,
Cape Verde,2020,0.08,0,0.01,0,0.09,1703698677,3064.272388,
Cayman Islands,2020,0,0,0.02,0,0.02,5608989196,85346.76195,
Central African Republic,2020,0,0.15,0,0,0.15,2326720921,481.7462966,
Chad,2020,0.01,0,0,0,0.01,10715396135,652.3492096,
Chile,2020,5.52,20.79,7.62,1.77,35.7,2.53E+11,13220.57076,
China,2020,466.5,1322.01,261.1,135.524,2185.134,1.47E+13,10408.66976,
Colombia,2020,0.06,45.82,0.19,1.28,47.35,2.70E+11,5312.198556,
Comoros,2020,0,0,0,0,0,1223876065,1407.40927,
Congo,2020,0,1.07,0,0.08,1.15,10483151094,1899.778237,
Costa Rica,2020,1.46,8.29,0.06,1.71,11.52,62158002233,12201.92603,
Cote d'Ivoire,2020,0,2.31,0.02,0,2.33,61348579465,2325.723705,
Croatia,2020,1.72,5.66,0.1,1.07,8.55,57203783203,14132.48656,
Cuba,2020,0.02,0.06,0.25,2.6,2.93,1.07E+11,9477.852873,
Cyprus,2020,0.24,0,0.3,0.06,0.6,24692095945,27681.56641,
Czechia,2020,0.7,2.14,2.29,5.21,10.34,2.45E+11,22933.49959,
Democratic Republic of Congo,2020,0,9.19,0.03,0,9.22,48716960860,543.9503925,
Denmark,2020,16.33,0.02,1.18,5.92,23.45,3.56E+11,61063.31643,
Djibouti,2020,0,0,0,0,0,3181071154,3219.701128,
Dominica,2020,0,0.04,0,0,0.04,504214814.8,7003.859021,
Dominican Republic,2020,0.55,0.12,0.26,0.35,1.28,78844702329,7268.19691,
Ecuador,2020,0.08,24.79,0.04,1.29,26.2,99291124000,5627.77228,
Egypt,2020,4,12.09,1.5,0,17.59,3.65E+11,3569.206841,
El Salvador,2020,0,1.99,0.5,2.15,4.64,24638720000,3798.636521,
Equatorial Guinea,2020,0,0.12,0,0,0.12,10099157270,7198.335884,
Eritrea,2020,0,0,0.03,0,0.03,2065001626,642.5082588,
Estonia,2020,0.84,0.03,0.12,1.85,2.84,30650285472,23054.35849,
Eswatini,2020,0,0.16,0,0.46,0.62,3984840580,3434.721798,
Ethiopia,2020,0.53,13.56,0.02,0.03,14.14,1.08E+11,936.4507576,
